Entity,Code,Year,"Fertility rate (Select Gapminder, v12) (2017)"
Afghanistan,AFG,2019,4.18
Albania,ALB,2019,1.7
Algeria,DZA,2019,2.59
Angola,AGO,2019,5.48
Antigua and Barbuda,ATG,2019,2.02
Argentina,ARG,2019,2.25
Armenia,ARM,2019,1.59
Aruba,ABW,2019,1.8
Australia,AUS,2019,1.82
Austria,AUT,2019,1.53
Azerbaijan,AZE,2019,2.02
Bahamas,BHS,2019,1.74
Bahrain,BHR,2019,1.96
Bangladesh,BGD,2019,2.02
Barbados,BRB,2019,1.8
Belarus,BLR,2019,1.72
Belgium,BEL,2019,1.8
Belize,BLZ,2019,2.41
Benin,BEN,2019,4.77
Bhutan,BTN,2019,1.96
Bolivia,BOL,2019,2.77
Bosnia and Herzegovina,BIH,2019,1.41
Botswana,BWA,2019,2.6
Brazil,BRA,2019,1.69
Brunei,BRN,2019,1.84
Bulgaria,BGR,2019,1.6
Burkina Faso,BFA,2019,5.11
Burundi,BDI,2019,5.45
Cambodia,KHM,2019,2.47
Cameroon,CMR,2019,4.51
Canada,CAN,2019,1.56
Cape Verde,CPV,2019,2.24
Central African Republic,CAF,2019,4.65
Chad,TCD,2019,5.65
Channel Islands,OWID_CIS,2019,1.49
Chile,CHL,2019,1.75
China,CHN,2019,1.64
Colombia,COL,2019,1.8
Comoros,COM,2019,4.14
Congo,COG,2019,4.48
Costa Rica,CRI,2019,1.74
Cote d'Ivoire,CIV,2019,4.72
Croatia,HRV,2019,1.44
Cuba,CUB,2019,1.72
Cyprus,CYP,2019,1.33
Czechia,CZE,2019,1.59
Democratic Republic of Congo,COD,2019,5.82
Denmark,DNK,2019,1.77
Djibouti,DJI,2019,2.67
Dominican Republic,DOM,2019,2.34
Ecuador,ECU,2019,2.41
Egypt,EGY,2019,3.1
El Salvador,SLV,2019,2.02
Equatorial Guinea,GNQ,2019,4.43
Eritrea,ERI,2019,3.92
Estonia,EST,2019,1.67
Eswatini,SWZ,2019,2.94
Ethiopia,ETH,2019,3.86
Fiji,FJI,2019,2.45
Finland,FIN,2019,1.78
France,FRA,2019,1.97
French Guiana,GUF,2019,3.21
French Polynesia,PYF,2019,1.97
Gabon,GAB,2019,3.59
Gambia,GMB,2019,5.22
Georgia,GEO,2019,1.97
Germany,DEU,2019,1.48
Ghana,GHA,2019,3.81
Greece,GRC,2019,1.3
Grenada,GRD,2019,2.04
Guadeloupe,GLP,2019,1.9
Guam,GUM,2019,2.29
Guatemala,GTM,2019,2.82
Guinea,GIN,2019,4.62
Guinea-Bissau,GNB,2019,4.41
Guyana,GUY,2019,2.44
Haiti,HTI,2019,2.77
Honduras,HND,2019,2.35
Hong Kong,HKG,2019,1.36
Hungary,HUN,2019,1.41
Iceland,ISL,2019,1.91
India,IND,2019,2.26
Indonesia,IDN,2019,2.29
Iran,IRN,2019,1.59
Iraq,IRQ,2019,4.19
Ireland,IRL,2019,1.98
Israel,ISR,2019,2.89
Italy,ITA,2019,1.51
Jamaica,JAM,2019,1.97
Japan,JPN,2019,1.5
Jordan,JOR,2019,3.18
Kazakhstan,KAZ,2019,2.54
Kenya,KEN,2019,3.68
Kiribati,KIR,2019,3.53
Kuwait,KWT,2019,1.94
Kyrgyzstan,KGZ,2019,2.86
Laos,LAO,2019,2.54
Latvia,LVA,2019,1.59
Lebanon,LBN,2019,1.7
Lesotho,LSO,2019,2.95
Liberia,LBR,2019,4.38
Libya,LBY,2019,2.16
Lithuania,LTU,2019,1.68
Luxembourg,LUX,2019,1.61
Macao,MAC,2019,1.39
Madagascar,MDG,2019,4.02
Malawi,MWI,2019,4.38
Malaysia,MYS,2019,1.98
Maldives,MDV,2019,1.98
Mali,MLI,2019,5.79
Malta,MLT,2019,1.49
Martinique,MTQ,2019,1.87
Mauritania,MRT,2019,4.49
Mauritius,MUS,2019,1.42
Mayotte,MYT,2019,3.63
Mexico,MEX,2019,2.09
Micronesia,,2019,3.01
Moldova,MDA,2019,1.23
Mongolia,MNG,2019,2.63
Montenegro,MNE,2019,1.65
Morocco,MAR,2019,2.38
Mozambique,MOZ,2019,5.05
Myanmar,MMR,2019,2.15
Namibia,NAM,2019,3.24
Nepal,NPL,2019,2.02
Netherlands,NLD,2019,1.75
Netherlands Antilles,ANT,2019,1.83
New Caledonia,NCL,2019,2.11
New Zealand,NZL,2019,1.96
Nicaragua,NIC,2019,2.12
Niger,NER,2019,7.07
Nigeria,NGA,2019,5.32
North Korea,PRK,2019,1.88
North Macedonia,MKD,2019,1.56
Norway,NOR,2019,1.83
Oman,OMN,2019,2.46
Pakistan,PAK,2019,3.29
Panama,PAN,2019,2.43
Papua New Guinea,PNG,2019,3.52
Paraguay,PRY,2019,2.4
Peru,PER,2019,2.31
Philippines,PHL,2019,2.84
Poland,POL,2019,1.29
Portugal,PRT,2019,1.24
Puerto Rico,PRI,2019,1.46
Qatar,QAT,2019,1.85
Reunion,REU,2019,2.24
Romania,ROU,2019,1.55
Russia,RUS,2019,1.77
Rwanda,RWA,2019,3.67
Saint Lucia,LCA,2019,1.43
Saint Vincent and the Grenadines,VCT,2019,1.87
Samoa,WSM,2019,3.83
Sao Tome and Principe,STP,2019,4.27
Saudi Arabia,SAU,2019,2.42
Senegal,SEN,2019,4.55
Serbia,SRB,2019,1.63
Seychelles,SYC,2019,2.23
Sierra Leone,SLE,2019,4.17
Singapore,SGP,2019,1.27
Slovak Republic,,2019,1.48
Slovenia,SVN,2019,1.65
Solomon Islands,SLB,2019,3.69
Somalia,SOM,2019,5.98
South Africa,ZAF,2019,2.38
South Korea,KOR,2019,1.35
South Sudan,SSD,2019,4.62
Spain,ESP,2019,1.41
Sri Lanka,LKA,2019,2.01
Sudan,SDN,2019,4.35
Suriname,SUR,2019,2.3
Sweden,SWE,2019,1.91
Switzerland,CHE,2019,1.56
Syria,SYR,2019,2.77
Taiwan,TWN,2019,1.24
Tajikistan,TJK,2019,3.22
Tanzania,TZA,2019,4.83
Thailand,THA,2019,1.44
Timor-Leste,,2019,5.17
Togo,TGO,2019,4.26
Tonga,TON,2019,3.52
Trinidad and Tobago,TTO,2019,1.72
Tunisia,TUN,2019,2.12
Turkey,TUR,2019,2
Turkmenistan,TKM,2019,2.74
Uganda,UGA,2019,5.32
Ukraine,UKR,2019,1.58
United Arab Emirates,ARE,2019,1.7
United Kingdom,GBR,2019,1.87
United States,USA,2019,1.9
United States Virgin Islands,VIR,2019,2.15
Uruguay,URY,2019,1.96
Uzbekistan,UZB,2019,2.21
Vanuatu,VUT,2019,3.17
Venezuela,VEN,2019,2.25
Vietnam,VNM,2019,1.94
Western Sahara,ESH,2019,2.37
World,OWID_WRL,2019,2.43
Yemen,YEM,2019,3.69
Zambia,ZMB,2019,4.81
Zimbabwe,ZWE,2019,3.53
